Group,Total Correct,Total % Correct,AI Correct,AI % Correct,Human Correct,Human % Correct
Yes,54.0,75.0,30.0,83.33333333333334,24.0,66.66666666666666
No,47.0,78.33333333333333,28.0,93.33333333333333,19.0,63.33333333333333
