Accuracy (%),Participant
66.66666666666666,1
91.66666666666666,2
83.33333333333334,3
75.0,4
75.0,5
75.0,6
83.33333333333334,7
83.33333333333334,8
91.66666666666666,9
58.333333333333336,10
58.333333333333336,11
