,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8,Image9,Image10,Image11,Image12
A) AI-generated,10.0,0.0,0.0,9.0,10.0,0.0,0.0,10.0,0.0,7.0,0.0,3.0
B) Human-created,0.0,5.0,9.0,0.0,0.0,9.0,9.0,0.0,10.0,0.0,10.0,0.0
