Creative Artist Status,ai,art,artist,artists,collected,content,create,data,existing,generated,human,images,impersonating,make,really,reduces,use,using,want,work
No,5,6,1,1,2,0,1,1,2,1,2,1,0,0,0,0,2,2,0,1
Yes,7,9,1,2,0,3,1,1,0,2,0,4,2,2,1,1,0,0,2,1
