Image,Correct Classifications,Percentage Correct
Image1,10,90.9090909090909
Image2,5,45.45454545454545
Image3,9,81.81818181818183
Image4,9,81.81818181818183
Image5,10,90.9090909090909
Image6,9,81.81818181818183
Image7,9,81.81818181818183
Image8,10,90.9090909090909
Image9,10,90.9090909090909
Image10,7,63.63636363636363
Image11,10,90.9090909090909
Image12,3,27.27272727272727
