,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8,Image9,Image10,Image11,Image12
B) Human-created,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,8.0
A) AI-generated,0.0,6.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0
