Image,Accuracy
Image1,90.9090909090909
Image2,45.45454545454545
Image3,81.81818181818183
Image4,81.81818181818183
Image5,90.9090909090909
Image6,81.81818181818183
Image7,81.81818181818183
Image8,90.9090909090909
Image9,90.9090909090909
Image10,63.63636363636363
Image11,90.9090909090909
Image12,27.27272727272727
